Date,Price,Open,High,Low,Vol.,Change %
10/02/2022,1.3955,1.393,1.3992,1.3794,81.22K,0.19%
11/02/2022,1.4011,1.3955,1.4069,1.3915,107.20K,0.40%
14/02/2022,1.4031,1.402,1.4113,1.3983,101.71K,0.14%
15/02/2022,1.3982,1.4031,1.4082,1.3971,81.04K,-0.35%
16/02/2022,1.3895,1.3983,1.4001,1.3877,88.29K,-0.62%
17/02/2022,1.3912,1.3898,1.3989,1.3853,109.19K,0.12%
18/02/2022,1.3937,1.3916,1.3958,1.3833,90.33K,0.18%
20/02/2022,1.3906,,,,,
21/02/2022,1.3906,1.3947,1.3963,1.3843,72.89K,-0.22%
22/02/2022,1.385,1.391,1.3945,1.3823,99.77K,-0.40%
23/02/2022,1.3822,1.3851,1.3855,1.3726,79.15K,-0.20%
24/02/2022,1.3959,1.3822,1.4095,1.3821,145.83K,0.99%
25/02/2022,1.382,1.3961,1.4004,1.3815,113.49K,-1.00%
28/02/2022,1.3767,1.3918,1.3982,1.3762,113.97K,-0.38%
01/03/2022,1.3784,1.3771,1.3817,1.3715,108.43K,0.12%
02/03/2022,1.3701,1.3792,1.3807,1.3685,95.00K,-0.60%
03/03/2022,1.3643,1.3706,1.3745,1.3607,99.31K,-0.42%
04/03/2022,1.3565,1.3644,1.37,1.3548,114.13K,-0.57%
07/03/2022,1.3661,1.3567,1.3678,1.3437,127.68K,0.71%
08/03/2022,1.3755,1.3665,1.3803,1.3606,127.65K,0.69%
09/03/2022,1.3654,1.3757,1.3767,1.3627,99.87K,-0.73%
10/03/2022,1.3589,1.3656,1.3724,1.3571,92.95K,-0.48%
11/03/2022,1.3714,1.36,1.3734,1.3571,97.92K,0.92%
12/03/2022,1.391,,,,,
14/03/2022,1.391,1.3717,1.3917,1.3694,89.38K,1.43%
15/03/2022,1.3895,1.3912,1.3958,1.3834,101.16K,-0.11%
16/03/2022,1.3716,1.3897,1.3929,1.3704,84.84K,-1.29%
17/03/2022,1.3554,1.3714,1.3733,1.3525,72.77K,-1.18%
18/03/2022,1.3486,1.3557,1.3587,1.3479,63.37K,-0.50%
21/03/2022,1.351,1.3511,1.3562,1.3467,77.94K,0.18%
